"hafasId";"rmvId";"dhId";"hstName";"nameFahrPlan";"xIplWert";"yIplWert";"xWgs84";"yWgs84";"lno";"istBahnhof";"gueltigAb";"gueltigBis";"verbund1IstGleichRmv";"land";"rp";"landKreis";"gemeindeName";"ortsTeilName";"agsLand";"agsRp";"agsLk";"agsG";"agsOt"
"3002912";"2912";"de:06433:2912";"Heegwaldstraße";"Kelsterbach Heegwaldstraße";"3466602";"5546586";"8,53260159791048";"50,0546122466127";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002914";"2914";"de:06436:2914";"Kelsterbacher Straße";"Hattersheim (Main)-Eddersheim Kelsterbacher Straße";"3462137";"5545120";"8,47040135941473";"50,0411654668907";"MTV";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Main-Taunus";"Hattersheim a.M.";"Eddersheim";"06";"4";"36";"005";"010"
"3002915";"2915";"de:06436:2915";"Bleichstraße";"Hattersheim (Main)-Eddersheim Bleichstraße";"3462036";"5544844";"8,46901882224591";"50,0386777928789";"MTV";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Main-Taunus";"Hattersheim a.M.";"Eddersheim";"06";"4";"36";"005";"010"
"3002920";"2920";"de:06433:2920";"Berliner Straße";"Kelsterbach Berliner Straße";"3465601";"5546467";"8,51863517170117";"50,0534853826985";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002921";"2921";"de:06433:2921";"Karl-Treutel-Schule";"Kelsterbach Karl-Treutel-Schule";"3466284";"5546877";"8,52813568877492";"50,0572104118727";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002922";"2922";"de:06433:2922";"Kuhweg";"Kelsterbach Kuhweg";"3467199";"5547740";"8,54083874613779";"50,065020004991";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002923";"2923";"de:06433:2923";"Sportpark";"Kelsterbach Sportpark";"3467358";"5547935";"8,5430427419842";"50,0667818169703";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002924";"2924";"de:06433:2924";"Friedhof";"Kelsterbach Friedhof";"3466404";"5548820";"8,52964079372822";"50,0746848539545";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002925";"2925";"de:06433:2925";"Kirschenallee";"Kelsterbach Kirschenallee";"3466735";"5548017";"8,5343343513415";"50,0674844691884";"LNVG GG";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Groß-Gerau";"Kelsterbach";"Kelsterbach";"06";"4";"33";"007";"000"
"3002930";"2930";"de:06412:2930";"Flughafen Regionalbahnhof";"Frankfurt(M) Flughafen Regionalbf";"3469368";"5546192";"8,57125541649523";"50,0512190297572";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002931";"2931";"de:06412:2931";"Flughafen Tor 3";"Frankfurt (Main) Flughafen Tor 3";"3469928";"5546411";"8,57905709328901";"50,0532164425281";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002932";"2932";"de:06412:2932";"Flughafen Terminal 1";"Flughafen Terminal 1, Frankfurt a.M.";"3469387";"5546176";"8,57152197839009";"50,0510761660626";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002933";"2933";"de:06412:2933";"Flughafen Terminal 2";"Frankfurt(M) Flughafen Terminal 1-P36";"3469808";"5546369";"8,57738486208282";"50,052832778021";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002934";"2934";"de:06412:2934";"Hugo-Eckener-Ring";"Frankfurt (Main) Hugo-Eckener-Ring";"3470311";"5546397";"8,58440595570824";"50,0531098225524";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002935";"2935";"de:06412:2935";"Flughafen Lufthansabasis";"Frankfurt (Main) Flughafen Lufthansabasis";"3468660";"5545981";"8,56138740907413";"50,0492852356741";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002936";"2936";"de:06412:2936";"Flughafen Tor 23";"Frankfurt (Main) Flughafen Tor 23";"3467973";"5545725";"8,55181714492637";"50,046947180582";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002937";"2937";"de:06412:2937";"Gateway Gardens Nord";"Frankfurt (Main) Gateway Gardens Nord";"3471183";"5546936";"8,59654099524229";"50,0579983967005";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002938";"2938";"de:06412:2938";"Kreisel Unterschweinstiege";"Frankfurt (Main) Kreisel Unterschweinstiege";"3470615";"5546837";"8,58861689187758";"50,0570805770935";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
"3002990";"2990";"de:06412:2990";"Unterschweinstiege";"Frankfurt (Main) Unterschweinstiege";"3470385";"5547011";"8,58539171402758";"50,0586334486168";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Flughafen";"06";"4";"12";"000";"815"
